HCPCS Code,Short Descriptor,APC,Payment Rate
0001F,Heart failure composite,,
0001U,Rbc dna hea 35 ag 11 bld grp,,
0002M,Liver dis 10 assays w/ash,,
0002U,Onc clrct 3 ur metab alg plp,,
0003M,Liver dis 10 assays w/nash,,
0003U,Onc ovar 5 prtn ser alg scor,,
0004M,Scoliosis dna alys,,
0005F,Osteoarthritis composite,,
0005U,Onco prst8 3 gene ur alg,,
0006M,Onc hep gene risk classifier,,
0007M,Onc gastro 51 gene nomogram,,
0007U,Rx test prsmv ur w/def conf,,
0008U,Hpylori detcj abx rstnc dna,,
0009U,Onc brst ca erbb2 amp/nonamp,,
100,Anesth salivary gland,,
102,Anesth repair of cleft lip,,
103,Anesth blepharoplasty,,
104,Anesth electroshock,,
0010U,Nfct ds strn typ whl gen seq,,
0011M,Onc prst8 ca mrna 12 gen alg,,
0011U,Rx mntr lc-ms/ms oral fluid,,
120,Anesth ear surgery,,
124,Anesth ear exam,,
126,Anesth tympanotomy,,
0012F,Cap bacterial assess,,
0012M,Onc mrna 5 gen rsk urthl ca,,
0013M,Onc mrna 5 gen recr urthl ca,,
140,Anesth procedures on eye,,
142,Anesth lens surgery,,
144,Anesth corneal transplant,,
145,Anesth vitreoretinal surg,,
147,Anesth iridectomy,,
148,Anesth eye exam,,
0014A,Fee covid-19 vac 2 res,,
0014F,Comp preop assess cat surg,,
0015F,Melan follow-up complete,,
0015M,Adrnl cortcl tum bchm asy 25,,
160,Anesth nose/sinus surgery,,
162,Anesth nose/sinus surgery,,
164,Anesth biopsy of nose,,
0016M,Onc bladder mrna 219 gen alg,,
0016U,Onc hmtlmf neo rna bcr/abl1,,
170,Anesth procedure on mouth,,
172,Anesth cleft palate repair,,
174,Anesth pharyngeal surgery,,
176,Anesth pharyngeal surgery,,
0017M,Onc dlbcl mrna 20 genes alg,,
0017U,Onc hmtlmf neo jak2 mut dna,,
0018M,Trnsplj rnl meas cd154+cll,,
0018U,Onc thyr 10 microrna seq alg,,
190,Anesth face/skull bone surg,,
192,Anesth facial bone surgery,,
0019M,Cv ds plasma alys prtn bmrk,,
0019U,Onc rna tiss predict alg,,
210,Anesth cranial surg nos,,
211,Anesth cran surg hemotoma,,
212,Anesth skull drainage,,
214,Anesth skull drainage,,
215,Anesth skull repair/fract,,
216,Anesth head vessel surgery,,
218,Anesth special head surgery,,
0021U,Onc prst8 detcj 8 autoantb,,
220,Anesth intrcrn nerve,,
222,Anesth head nerve surgery,,
0022U,Trgt gen seq dna&rna 1-23 gn,,
0023A,Fee covid-19 vac 3 booster,,
0023U,Onc aml dna detcj/nondetcj,,
0024A,Fee covid-19 vac 3 res,,
0024U,Glyca nuc mr spectrsc quan,,
0025U,Tenofovir liq chrom ur quan,,
0026U,Onc thyr dna&mrna 112 genes,,
0027U,Jak2 gene trgt seq alys,,
0029U,Rx metab advrs trgt seq alys,,
300,Anesth head/neck/ptrunk,,
0030U,Rx metab warf trgt seq alys,,
