APC,HCPCS Code,Description,Payment Rate
701,A9600,Sr89 strontium,"$4,156.57 "
702,C9159,"Inj, balfaxar, per i.u",$3.25 
703,C9160,Inj daxibotulinumtoxina-lanm,$4.45 
704,C9161,"Inj, aflibercept hd, 1 mg",$337.97 
705,C9162,"Inj, avacincaptad peg 0.1 mg",$108.15 
706,C9163,Inj talquetamab-tgvs 0.25 mg,$66.69 
707,C9164,"Cantharidin top, applicator",$705.55 
708,C9165,"Inj, elranatamab-bcmm, 1 mg",$176.87 
709,A9601,Flortaucipir inj 1 millicuri,"$3,710.00 "
710,J0217,Inj velmanase alfa-tycv 1 mg,$424.00 
711,J0391,"Inj, artesunate, 1mg",$47.62 
713,J1412,Inj roctavian ml 2x10^13vc g,"$12,007.81 "
714,J1413,Inj delandistrogene mox rokl,"$3,296,000.00 "
715,J2508,Pegunigalsidase alfa-iwxj,$212.96 
716,J3401,"Vyjuvek 5x10^9pfu/ml, 0.1 ml","$2,497.75 "
717,J9029,"Instill adstiladrin, tx dose","$61,800.00 "
718,J9052,"Inj, carmustine (accord)",$18.40 
719,J9072,Inj cyclophos dr.reddy's 5mg,$3.76 
720,J9286,"Inj glofitamab gxbm, 2.5 mg","$2,707.93 "
721,J9333,Inj ronzanolixizum-noli 1 mg,$22.26 
722,J1105,"Dexmedetomidine film, 1 mcg",$0.72 
723,J9334,Inj efgart-alfa 2mg hya-qvfc,$32.24 
724,J2359,"Inj. olanzapine, 0.5mg",$0.95 
726,J1190,Dexrazoxane hcl injection,$108.01 
731,J2820,Sargramostim injection,$59.32 
736,J0289,Amphotericin b liposome inj,$26.66 
738,J2783,Rasburicase,$367.27 
742,J7353,Anacaulase-bcdb 8.8% gel 1 g,$60.71 
752,J9120,Dactinomycin injection,$668.90 
759,J2315,"Naltrexone, depot form",$3.96 
800,J1950,Leuprolide acetate /3.75 mg,"$1,564.60 "
802,J8560,Etoposide oral 50 mg,$76.61 
807,J9015,Aldesleukin injection,"$3,943.00 "
810,J9202,Goserelin acetate implant,$609.01 
812,J9050,Carmustine injection,$271.47 
820,J9150,Daunorubicin injection,$35.67 
825,J9261,Nelarabine injection,$110.98 
827,J9200,Floxuridine injection,"$3,722.04 "
836,J9214,Interferon alfa-2b inj,$32.57 
840,J9245,Inj melpha hydroch nos 50 mg,$148.02 
843,J9266,Pegaspargase injection,"$25,781.46 "
844,J9268,Pentostatin injection,"$2,273.15 "
850,J9320,Streptozocin injection,$370.18 
851,J9340,Thiotepa injection,$251.21 
856,J9600,Porfimer sodium injection,"$22,828.16 "
858,J9065,Inj cladribine per 1 mg,$15.77 
864,J9293,Mitoxantrone hydrochl / 5 mg,$43.58 
874,J7325,Synvisc or synvisc-one,$9.12 
875,J7323,Euflexxa inj per dose,$127.30 
877,J7324,Orthovisc inj per dose,$130.64 
887,J7501,Azathioprine parenteral,$239.94 
890,J7504,Lymphocyte immune globulin,"$3,591.46 "
901,J0256,Alpha 1 proteinase inhibitor,$4.88 
902,J0585,"Injection,onabotulinumtoxina",$6.33 
903,J0850,Cytomegalovirus imm iv /vial,"$1,807.87 "
925,J7190,Factor viii,$1.03 
927,J7192,Factor viii recombinant nos,$1.51 
928,J7194,Factor ix complex,$1.61 
929,J7198,Anti-inhibitor,$2.27 
931,J7193,Factor ix non-recombinant,$1.32 
932,J7195,Factor ix recombinant nos,$1.75 
943,J1568,Octagam injection,$44.98 
944,J1569,Gammagard liquid injection,$44.15 
946,J1571,Hepagam b im injection,$59.62 
947,J1572,Flebogamma injection,$56.12 
948,J1561,Gamunex-c/gammaked,$49.79 
961,P9041,"Albumin (human),5%, 50ml",$10.62 
963,P9045,"Albumin (human), 5%, 250 ml",$53.08 
964,P9046,"Albumin (human), 25%, 20 ml",$21.23 
965,P9047,"Albumin (human), 25%, 50ml",$53.08 
1015,J1595,Injection glatiramer acetate,$155.98 
1064,A9517,"I131 iodide cap, rx",$21.34 
1083,J0135,Adalimumab injection,"$1,834.49 "
1138,J1573,"Hepagam b intravenous, inj",$59.62 
1139,J2724,Protein c concentrate,$15.07 
1142,J9226,Supprelin la implant,"$44,575.94 "
1150,A9530,"I131 iodide sol, rx",$20.40 
1168,J9330,Temsirolimus injection,$30.99 
1178,J0594,Busulfan injection,$1.41 
1203,J3396,Verteporfin injection,$11.53 
1207,J2353,"Octreotide injection, depot",$210.83 
1213,J7186,Antihemophilic viii/vwf comp,$1.20 
1214,J1459,Inj ivig privigen 500 mg,$48.29 
1232,J9280,Mitomycin injection,$63.35 
1233,J2598,"Inj, vasopressin, 1 unit",$1.82 
1234,J2599,Inj vasopressin (am reg) 1 u,$0.46 
1235,J9357,Valrubicin injection,"$1,363.85 "
1236,J0641,Inj levoleucovorin nos 0.5mg,$0.07 
1237,J1750,Inj iron dextran,$17.32 
1238,J8705,Topotecan oral,$113.49 
1263,J7197,Antithrombin iii injection,$3.87 
1268,J7185,Xyntha inj,$1.29 
1274,J0600,Edetate calcium disodium inj,"$6,452.50 "
1281,C9257,Bevacizumab injection,$1.85 
1289,J0586,Abobotulinumtoxina,$8.81 
1295,A9604,Sm 153 lexidronam,"$17,259.85 "
1296,J9155,Degarelix injection,$4.19 
1297,Q0138,"Ferumoxytol, non-esrd",$0.36 
1311,J0638,Canakinumab injection,$124.33 
1312,J1559,Hizentra injection,$12.95 
1327,J1786,Imuglucerase injection,$44.02 
1331,J2358,Olanzapine long-acting inj,$2.92 
1340,J0775,"Collagenase, clost hist inj",$66.27 
1341,J0300,Amobarbital 125 mg inj,$114.24 
1352,J7183,Wilate injection,$1.30 
1353,J0490,Belimumab injection,$52.00 
1408,J9070,Cyclophosphamide 100 mg inj,$20.15 
1413,J0221,Lumizyme injection,$197.28 
1415,J0257,Glassia injection,$5.35 
1416,J7180,Factor xiii anti-hem factor,$9.68 
1417,J7326,Gel-one,$497.29 
1420,J0178,Aflibercept injection,$862.28 
1421,Q2049,Imported lipodox inj,$391.42 
1426,J9179,Eribulin mesylate injection,$134.02 
1431,J0716,Centruroides immune f(ab),"$4,867.98 "
1433,J0630,Calcitonin salmon injection,"$1,069.50 "
1440,J2597,Inj desmopressin acetate,$6.33 
